id,age,age40,category,city,country,institutions,male,money,response
104042,3,0,5,Zagreb,Croatia,4,1,1,100
104021,4,1,4,Zagreb,Croatia,3,0,0,0
104111,3,0,5,Zagreb,Croatia,4,0,1,0
104032,3,0,1,Zagreb,Croatia,0,0,1,100
104052,5,1,3,Zagreb,Croatia,2,1,0,0
104108,2,0,1,Zagreb,Croatia,0,0,0,0
104007,3,0,3,Zagreb,Croatia,2,1,0,100
104030,4,1,4,Zagreb,Croatia,3,0,1,0
104044,2,0,3,Zagreb,Croatia,2,1,1,100
104096,3,0,2,Zagreb,Croatia,1,1,1,100
104064,3,0,2,Zagreb,Croatia,1,1,1,100
104091,5,1,1,Zagreb,Croatia,0,1,1,0
104034,4,1,5,Zagreb,Croatia,4,0,1,100
104104,2,0,2,Zagreb,Croatia,1,0,0,100
104063,3,0,2,Zagreb,Croatia,1,1,1,0
104088,3,0,5,Zagreb,Croatia,4,1,1,100
104115,3,0,2,Zagreb,Croatia,1,0,0,100
104037,2,0,5,Zagreb,Croatia,4,0,1,100
104005,3,0,1,Zagreb,Croatia,0,0,1,100
104099,5,1,3,Zagreb,Croatia,2,1,0,0
104046,3,0,3,Zagreb,Croatia,2,1,0,100
104071,3,0,3,Zagreb,Croatia,2,1,1,100
104065,5,1,4,Zagreb,Croatia,3,0,0,0
104116,3,0,5,Zagreb,Croatia,4,1,0,0
104025,5,1,4,Zagreb,Croatia,3,1,0,0
104024,3,0,3,Zagreb,Croatia,2,0,1,100
104112,5,1,5,Zagreb,Croatia,4,1,0,100
104020,4,1,5,Zagreb,Croatia,4,1,1,100
104018,3,0,1,Zagreb,Croatia,0,0,0,100
104048,5,1,4,Zagreb,Croatia,3,0,1,0
104107,3,0,4,Zagreb,Croatia,3,0,1,100
104062,2,0,2,Zagreb,Croatia,1,0,1,100
104079,4,1,3,Zagreb,Croatia,2,1,0,0
104038,3,0,4,Zagreb,Croatia,3,1,1,0
104019,3,0,1,Zagreb,Croatia,0,1,1,0
